date,coin,marketCap
2023-10-29,Ethereum,213698048381
2023-10-22,Ethereum,195866648538
2023-10-15,Ethereum,187282206957
2023-10-08,Ethereum,196552291634
2023-10-01,Ethereum,200867042113
2023-09-24,Ethereum,191463785607
2023-09-17,Ethereum,196489101207
2023-09-10,Ethereum,196524550291
2023-09-03,Ethereum,196740112480
2023-08-27,Ethereum,197789939427
2023-08-20,Ethereum,200676423059
2023-08-13,Ethereum,222069758273
2023-08-06,Ethereum,220487019494
2023-07-30,Ethereum,226074318965
2023-07-23,Ethereum,223308803225
2023-07-16,Ethereum,232081207333
2023-07-09,Ethereum,224139520024
2023-07-02,Ethereum,231096044843
2023-06-25,Ethereum,225448939889
2023-06-18,Ethereum,207595972780
2023-06-11,Ethereum,210950148701
2023-06-04,Ethereum,227515751049
2023-05-28,Ethereum,220035586188
2023-05-21,Ethereum,218770214155
2023-05-14,Ethereum,216032102440
2023-05-07,Ethereum,228369002904
2023-04-30,Ethereum,229429843510
2023-04-23,Ethereum,226130094816
2023-04-16,Ethereum,251586840870
2023-04-09,Ethereum,223169245107
2023-04-02,Ethereum,219561711559
2023-03-26,Ethereum,211355889911
2023-03-19,Ethereum,213123927233
2023-03-12,Ethereum,176915178456
2023-03-05,Ethereum,189002414069
2023-02-26,Ethereum,192056375721
2023-02-19,Ethereum,203613145994
2023-02-12,Ethereum,185826666441
2023-02-05,Ethereum,201099652783
2023-01-29,Ethereum,189301295262
2023-01-22,Ethereum,195908718395
2023-01-15,Ethereum,187276048381
2023-01-08,Ethereum,152351777735
2023-01-01,Ethereum,144188788704
2022-12-25,Ethereum,147173116812
2022-12-18,Ethereum,143321475846
2022-12-11,Ethereum,152480155389
2022-12-04,Ethereum,150322759023
2022-11-27,Ethereum,145222050633
2022-11-20,Ethereum,146971097132
